 column_name |     data_type     
-------------+-------------------
 gid         | integer
 adm3_name   | character varying
 adm3_name1  | character varying
 adm3_name2  | character varying
 adm3_name3  | character varying
 adm3_pcode  | character varying
 adm2_name   | character varying
 adm2_name1  | character varying
 adm2_name2  | character varying
 adm2_name3  | character varying
 adm2_pcode  | character varying
 adm1_name   | character varying
 adm1_name1  | character varying
 adm1_name2  | character varying
 adm1_name3  | character varying
 adm1_pcode  | character varying
 adm0_name   | character varying
 adm0_name1  | character varying
 adm0_name2  | character varying
 adm0_name3  | character varying
 adm0_pcode  | character varying
 valid_on    | date
 valid_to    | date
 area_sqkm   | numeric
 version     | character varying
 lang        | character varying
 lang1       | character varying
 lang2       | character varying
 lang3       | character varying
 adm3_ref_n  | character varying
 center_lat  | numeric
 center_lon  | numeric
 geom        | USER-DEFINED
(33 rows)

