 num_immat | parts 
-----------+-------
       366 |     2
       120 |     3
        62 |     4
        42 |     5
        25 |     6
        28 |     7
        19 |     8
        22 |     9
        13 |    10
    189351 |    11
         3 |    12
         6 |    13
         2 |    14
         1 |    15
         3 |    16
         1 |    17
         1 |    18
         5 |    21
         1 |    22
         1 |    24
         1 |    25
         1 |    26
         1 |    27
         3 |    31
         1 |    33
         1 |    36
         1 |    38
         1 |    40
         1 |    43
         1 |    44
         1 |    51
         1 |   105
       178 |   111
         1 |   176
(34 rows)

