immatriculation,num_houses
CM0100050050186,176
CM0050040031000,111
CM0050040031001,111
CM0050040031002,111
CM0050040031003,111
CM0050040031004,111
CM0050040031005,111
CM0050040031006,111
CM0050040031007,111
CM0050040031008,111
CM0050040031009,111
CM0050040031010,111
CM0050040031011,111
CM0050040031012,111
CM0050040031013,111
CM0050040031014,111
CM0050040031015,111
CM0050040031016,111
CM0050040031017,111
CM0050040031018,111
CM0050040031019,111
CM0050040031020,111
CM0050040031021,111
CM0050040031022,111
CM0050040031023,111
CM0050040031024,111
CM0050040031025,111
CM0050040031026,111
CM0050040031027,111
CM0050040031028,111
CM0050040031029,111
CM0050040031030,111
CM0050040031031,111
CM0050040031032,111
CM0050040031033,111
CM0050040031034,111
CM0050040031035,111
CM0050040031036,111
CM0050040031037,111
CM0050040031038,111
CM0050040031039,111
CM0050040031040,111
CM0050040031041,111
CM0050040031042,111
CM0050040031043,111
CM0050040031044,111
CM0050040031045,111
CM0050040031046,111
CM0050040031047,111
CM0050040031048,111
CM0050040031049,111
CM0050040031050,111
CM0050040031051,111
CM0050040031052,111
CM0050040031053,111
CM0050040031054,111
CM0050040031055,111
CM0050040031056,111
CM0050040031057,111
CM0050040031058,111
CM0050040031059,111
CM0050040031060,111
CM0050040031061,111
CM0050040031062,111
CM0050040031063,111
CM0050040031064,111
CM0050040031065,111
CM0050040031066,111
CM0050040031067,111
CM0050040031068,111
CM0050040031069,111
CM0050040031070,111
CM0050040031071,111
CM0050040031072,111
CM0050040031073,111
CM0050040031074,111
CM0050040031075,111
CM0050040031076,111
CM0050040031077,111
CM0050040031078,111
CM0050040031079,111
CM0050040031080,111
CM0050040031081,111
CM0050040031082,111
CM0050040031083,111
CM0050040031084,111
CM0050040031085,111
CM0050040031086,111
CM0050040031087,111
CM0050040031088,111
CM0050040031089,111
CM0050040031090,111
CM0050040031091,111
CM0050040031092,111
CM0050040031093,111
CM0050040031094,111
CM0050040031095,111
CM0050040031096,111
CM0050040031097,111
CM0050040031098,111
CM0050040031099,111
CM0050040031100,111
CM0050040031101,111
CM0050040031102,111
CM0050040031103,111
CM0050040031104,111
CM0050040031105,111
CM0050040031106,111
CM0050040031107,111
CM0050040031108,111
CM0050040031109,111
CM0050040031110,111
CM0050040031111,111
CM0050040031112,111
CM0050040031113,111
CM0050040031114,111
CM0050040031115,111
CM0050040031116,111
CM0050040031117,111
CM0050040031118,111
CM0050040031119,111
CM0050040031120,111
CM0050040031121,111
CM0050040031122,111
CM0050040031123,111
CM0050040031124,111
CM0050040031125,111
CM0050040031126,111
CM0050040031127,111
CM0050040031128,111
CM0050040031129,111
CM0050040031130,111
CM0050040031131,111
CM0050040031132,111
CM0050040031133,111
CM0050040031134,111
CM0050040031135,111
CM0050040031136,111
CM0050040031137,111
CM0050040031138,111
CM0050040031139,111
CM0050040031140,111
CM0050040031141,111
CM0050040031142,111
CM0050040031143,111
CM0050040031144,111
CM0050040031145,111
CM0050040031146,111
CM0050040031147,111
CM0050040031148,111
CM0050040031149,111
CM0050040031150,111
CM0050040031151,111
CM0050040031152,111
CM0050040031153,111
CM0050040031154,111
CM0050040031155,111
CM0050040031156,111
CM0050040031157,111
CM0050040031158,111
CM0050040031159,111
CM0050040031160,111
CM0050040031161,111
CM0050040031162,111
CM0050040031163,111
CM0050040031164,111
CM0050040031165,111
CM0050040031166,111
CM0050040031167,111
CM0050040031168,111
CM0050040031169,111
CM0050040031170,111
CM0050040031171,111
CM0050040031172,111
CM0050040031173,111
CM0050040031174,111
CM0050040031175,111
CM0050040031176,111
CM0050040031177,111
CM0060040020129,105
CM0050040031178,51
CM0100040030257,44
CM0040030040080,43
CM0080010010126,40
CM0080070030098,38
CM0010050080073,36
CM0080070010324,33
CM0070040030063,31
CM0080070030153,31
CM0100060020011,31
CM0040030030024,27
CM0080070030124,26
CM0080050040111,25
CM0080030010201,24
CM0080030010174,22
CM0010010010128,21
CM0010050050028,21
CM0100020010085,21
CM0100060050071,21
CM0100060060041,21
CM0010010020418,18
CM0100030010191,17
CM0070030030063,16
CM0080030040105,16
CM0100060070021,16
CM0080010010087,15
CM0020030020367,14
CM0070010020059,14
CM0020030040035,13
CM0060010020024,13
CM0080020040045,13
CM0080020060012,13
CM0080070010027,13
CM0100060060011,13
CM0010050040024,12
CM0070040030033,12
CM0100040030209,12
CM0010010021000,11
CM0010010021001,11
CM0010010021002,11
CM0010010021003,11
CM0010010021004,11
CM0010010021005,11
CM0010010021006,11
CM0010010021007,11
CM0010010021008,11
CM0010010021009,11
CM0010010021010,11
CM0010010021011,11
CM0010010021012,11
CM0010010021013,11
CM0010010021014,11
CM0010010021015,11
CM0010010021016,11
CM0010010021017,11
CM0010010021018,11
CM0010010021019,11
CM0010010021020,11
CM0010010021021,11
CM0010010021022,11
CM0010010021023,11
CM0010010021024,11
CM0010010021025,11
CM0010010021026,11
CM0010010021027,11
CM0010010021028,11
CM0010010021029,11
CM0010010021030,11
CM0010010021031,11
CM0010010021032,11
CM0010010021033,11
CM0010010021034,11
CM0010010021035,11
CM0010010021036,11
CM0010010021037,11
CM0010010021038,11
CM0010010021039,11
CM0010010021040,11
CM0010010021041,11
CM0010010021042,11
CM0010010021043,11
CM0010010021044,11
CM0010010021045,11
CM0010010021046,11
CM0010010021047,11
CM0010010021048,11
CM0010010021049,11
CM0010010021050,11
CM0010010021051,11
CM0010010021052,11
